HourAndDate,Winner,Price,Runner,Result
09:27:27 17/02/2022,1º,3.0,Don Shelley,4-1-2
09:30:42 17/02/2022,1º,2.4,Jon Simons,2-3-1
09:33:58 17/02/2022,1º,3.25,Darren Barnett,3-2-4
09:37:13 17/02/2022,1º,3.25,Eddie Hill,1-2-3
09:40:28 17/02/2022,1º,3.4,Darren Clutton,2-3-1
09:43:43 17/02/2022,1º,2.4,Stephen Williamson,2-1-3
09:46:58 17/02/2022,1º,6.0,PJ Bracek,3-4-1
09:50:13 17/02/2022,1º,2.87,Garry Kristofferson,3-4-2
09:53:29 17/02/2022,1º,3.75,Sami Jussi,2-4-1
09:56:44 17/02/2022,1º,3.25,Paul Lythgoe,1-4-3
10:00:00 17/02/2022,1º,2.8,Dean Knapper,2-1-3
10:03:15 17/02/2022,1º,2.75,Gerald Messi,3-1-2
10:06:30 17/02/2022,1º,3.2,Duncan Williams,4-1-2
10:09:45 17/02/2022,1º,3.25,Donny Cotton,2-3-4
10:13:00 17/02/2022,1º,3.6,David Cole,4-1-2
10:16:16 17/02/2022,1º,2.4,Robbie Turner,3-1-4
10:19:31 17/02/2022,1º,2.37,Craig Doorbar,1-3-2
10:22:46 17/02/2022,1º,4.5,Jonathon Scarth,1-2-4
10:26:01 17/02/2022,1º,6.0,Rodney Forest,2-4-3
10:29:16 17/02/2022,1º,6.0,Axel Shuttlecock,2-4-3
10:32:31 17/02/2022,1º,3.2,Dale Richards,2-4-3
10:35:47 17/02/2022,1º,3.4,Mel Glover,3-4-2
10:39:02 17/02/2022,1º,3.6,Stevie Peters,1-4-2
10:42:17 17/02/2022,1º,3.6,Al Simmons,2-1-4
10:45:32 17/02/2022,1º,6.5,Colin Fields,4-1-3
10:48:47 17/02/2022,1º,4.0,Chris Jobbins,1-4-2
10:52:02 17/02/2022,1º,3.75,Dan McGrew,2-4-3
10:55:18 17/02/2022,1º,2.4,Benny Hull,3-4-2
10:58:33 17/02/2022,1º,5.0,Graham Green,2-4-3
11:01:48 17/02/2022,1º,2.4,Freddie Grande,3-2-1
11:05:03 17/02/2022,1º,2.37,Billy Barakas,3-4-1
11:08:18 17/02/2022,1º,3.75,Wayne Marshall,4-3-2
11:11:33 17/02/2022,1º,3.25,Alan Iverson,3-1-2
11:14:49 17/02/2022,1º,2.37,Tyler Husdon,1-2-3
11:18:04 17/02/2022,1º,5.5,Shaun Smith,2-1-3
11:21:19 17/02/2022,1º,2.87,Adrian Snifferson,1-3-2
11:24:34 17/02/2022,1º,3.2,Pat Moritas,1-3-2
11:27:49 17/02/2022,1º,6.5,Thomas Magnum,2-3-4
11:31:04 17/02/2022,1º,2.87,Calvin Kipling,3-2-1
11:34:20 17/02/2022,1º,5.5,Bobby Cannon,1-4-2
11:37:35 17/02/2022,1º,6.5,Ian Bragg,3-4-2
11:40:50 17/02/2022,1º,3.6,Carl Cooper,3-2-1
11:44:06 17/02/2022,1º,3.0,Casey Rieback,3-1-2
11:47:21 17/02/2022,1º,3.5,Simon Arnold,1-4-3
11:50:36 17/02/2022,1º,3.25,Dirk Mann,1-4-3
11:53:52 17/02/2022,1º,4.33,Neil Nixon,1-3-4
11:57:07 17/02/2022,1º,3.75,Barry Allen,2-3-4
12:00:22 17/02/2022,1º,3.75,Phil Hulme,3-2-4
14:37:58 17/02/2022,1º,12.0,Nobby Simms,2-4-1
14:41:13 17/02/2022,1º,3.0,Tony Carrell,3-2-1
14:44:28 17/02/2022,1º,3.6,Dave Richards,2-3-4
14:47:43 17/02/2022,1º,8.5,Kyle Worthington,2-1-3
14:50:59 17/02/2022,1º,3.5,Thomas Knight,1-3-2
14:54:14 17/02/2022,1º,3.0,Mike Walker,2-4-1
14:57:29 17/02/2022,1º,3.75,Lloyd Rivers,3-2-4
15:00:44 17/02/2022,1º,3.2,Alex Causley,1-3-4
15:03:59 17/02/2022,1º,9.0,Martin Cox,3-1-2
15:07:14 17/02/2022,1º,3.25,Dave Obst,3-2-4
15:10:30 17/02/2022,1º,4.33,Bob King,1-2-4
15:13:45 17/02/2022,1º,3.0,Nick Dobbin,4-3-1
15:17:00 17/02/2022,1º,4.0,Paul Lee,4-3-2
15:20:15 17/02/2022,1º,3.0,Kenneth Richmond,3-1-2
15:23:30 17/02/2022,1º,5.5,Michael Roberts,3-4-2
15:26:46 17/02/2022,1º,5.5,Simon Bride,2-3-1
15:30:01 17/02/2022,1º,3.2,Paul Lythgoe,3-1-4
15:33:16 17/02/2022,1º,4.33,Jon Bradman,1-3-4
15:36:31 17/02/2022,1º,3.0,Gerald Messi,4-1-3
15:39:46 17/02/2022,1º,5.0,Victor Viceroy,4-3-2
15:43:01 17/02/2022,1º,4.0,Luke Skyrunner,3-4-2
15:46:17 17/02/2022,1º,3.0,Harry Timmis,2-3-1
15:49:32 17/02/2022,1º,3.4,David Cole,4-3-2
15:52:47 17/02/2022,1º,3.25,Jimmy Royale,2-4-1
15:56:02 17/02/2022,1º,3.6,Marlon Flowers,2-3-4
15:59:17 17/02/2022,1º,2.4,Neville Kettle,3-4-2
16:02:32 17/02/2022,1º,3.0,Jake Bradley,4-2-3
16:05:48 17/02/2022,1º,3.4,Matthew Jinks,2-4-1
16:09:03 17/02/2022,1º,2.4,Greg Henman,1-4-2
16:12:18 17/02/2022,1º,2.4,Elvis Tesley,4-2-3
16:15:33 17/02/2022,1º,3.0,Donald Alan,1-3-2
16:18:49 17/02/2022,1º,2.4,Mel Glover,2-4-1
16:22:04 17/02/2022,1º,6.0,Lamont Cranston,1-2-3
16:25:19 17/02/2022,1º,2.87,Michael Howle,3-1-4
16:28:35 17/02/2022,1º,2.4,Steve Johnstone,3-2-1
16:31:50 17/02/2022,1º,3.6,Mikkel Ludvig,3-2-4
16:35:05 17/02/2022,1º,2.62,Kevin Little,2-1-3
16:38:20 17/02/2022,1º,7.5,Peter Zivojinovic,3-1-2
16:41:36 17/02/2022,1º,3.4,Wayne Marshall,3-4-2
16:44:51 17/02/2022,1º,5.5,Chris Challenor,1-3-4
16:48:06 17/02/2022,1º,5.5,Al Jessel,1-2-4
16:51:21 17/02/2022,1º,3.2,Kevin Strong,3-4-2
16:54:37 17/02/2022,1º,3.2,Kevin Strong,3-4-2
16:57:52 17/02/2022,1º,3.2,Billy Bandini,4-3-1
17:01:07 17/02/2022,1º,2.4,John Dickering,4-1-3
17:04:22 17/02/2022,1º,5.5,Peter Vine,4-1-3
17:07:37 17/02/2022,1º,5.0,Brent Hammond,2-4-1
17:10:52 17/02/2022,1º,2.4,Stan Goodman,2-3-4
17:14:08 17/02/2022,1º,3.75,David Hollinshead,1-3-4
17:17:23 17/02/2022,1º,3.6,Benn Otter,1-3-2
17:20:38 17/02/2022,1º,3.75,Axel Shuttlecock,3-2-4
17:23:53 17/02/2022,1º,6.0,Colin Fields,2-3-1
17:27:08 17/02/2022,1º,3.4,Shaun Whitehurst,4-2-3
17:30:24 17/02/2022,1º,2.87,Steve Rogers,4-1-2
17:33:39 17/02/2022,1º,3.0,Al Simmons,1-3-2
21:16:44 17/02/2022,1º,7.0,Marcus King,2-4-3
21:20:00 17/02/2022,1º,2.87,Joey Bird,2-4-1
21:23:16 17/02/2022,1º,3.25,Jimmy Royale,3-4-1
21:26:31 17/02/2022,1º,2.4,Simon Fantauzzo,3-1-4
21:29:46 17/02/2022,1º,3.5,Paul Lythgoe,1-2-3
21:33:01 17/02/2022,1º,3.25,Scott Hayles,3-1-4
21:36:17 17/02/2022,1º,3.4,Bain O'Clair,3-1-4
21:39:32 17/02/2022,1º,3.25,Leigh Clewlow,4-3-1
21:42:47 17/02/2022,1º,4.0,Richard Wild,1-2-4
21:46:02 17/02/2022,1º,3.6,Nico De Barge,4-3-2
21:49:18 17/02/2022,1º,2.4,Elvis Tesley,4-1-3
21:52:33 17/02/2022,1º,4.5,Wez Cross,2-4-3
21:55:49 17/02/2022,1º,3.6,Jim Brindley,1-2-4
21:59:04 17/02/2022,1º,4.33,Andrew Parton,4-3-1
22:02:20 17/02/2022,1º,5.5,Michael Roberts,3-1-4
22:05:35 17/02/2022,1º,2.8,Benny Hull,4-2-3
22:08:50 17/02/2022,1º,2.4,Mel Glover,3-2-4
22:12:05 17/02/2022,1º,3.6,Hal Jordan,1-2-3
22:15:21 17/02/2022,1º,3.75,Manfred Cook,2-1-4
22:18:36 17/02/2022,1º,3.5,Luke Skyrunner,4-2-3
22:21:51 17/02/2022,1º,3.2,Nobby Thomson,1-2-3
22:25:07 17/02/2022,1º,8.0,Adam Hodgkinson,3-4-1
22:28:22 17/02/2022,1º,3.4,Wayne Marshall,1-3-4
22:31:37 17/02/2022,1º,3.2,Adrian Karlson,4-3-2
22:34:52 17/02/2022,1º,6.0,Ken T Twenty,2-1-3
22:38:08 17/02/2022,1º,3.4,Rusty Busenitz,2-4-3
22:41:24 17/02/2022,1º,3.2,Kevin Little,4-1-2
22:44:39 17/02/2022,1º,3.0,Barrie Basher,4-3-1
22:47:55 17/02/2022,1º,4.0,Noel Hackford,2-1-4
22:51:10 17/02/2022,1º,3.2,Adrian Snifferson,3-1-4
22:54:25 17/02/2022,1º,3.0,Freddy Large,4-3-2
22:57:40 17/02/2022,1º,2.4,Ray Egan,2-3-1
23:00:56 17/02/2022,1º,4.33,Harry Sumner,3-2-1
23:04:11 17/02/2022,1º,3.25,Martin Damon,4-2-3
23:07:27 17/02/2022,1º,3.4,Adam Branch,1-2-4
23:10:42 17/02/2022,1º,6.5,Ryan Grimshaw,1-3-2
23:13:58 17/02/2022,1º,2.4,Steve Johnstone,2-3-4
23:17:13 17/02/2022,1º,5.0,Henry Jones,1-4-3
23:20:28 17/02/2022,1º,3.4,Stephan Wilcko,4-3-2
23:23:43 17/02/2022,1º,2.4,Theodore Calvin,3-2-1
23:26:59 17/02/2022,1º,2.4,Brian Hardman,2-4-1
23:30:14 17/02/2022,1º,3.4,Ben Morris,4-3-1
23:33:29 17/02/2022,1º,3.2,Dan Druff,4-2-1
23:36:45 17/02/2022,1º,2.8,Kevin Rutter,1-4-3
23:40:00 17/02/2022,1º,3.0,Dextor Graham,4-3-2
23:43:15 17/02/2022,1º,5.0,Peter Vine,1-2-3
23:46:30 17/02/2022,1º,2.4,Charlie Swanson,1-4-2
23:49:46 17/02/2022,1º,2.37,Trevor Piper,4-3-1
14:32:08 18/02/2022,1º,5.5,Clinton Blisters,2-3-1
09:27:43 19/02/2022,1º,2.37,Neville Kettle,4-2-3
09:30:59 19/02/2022,1º,2.37,Neville Kettle,4-2-3
